date,atm_iv_slope_st,atm_iv_slope_lt,iv_otm_skew_st,iv_otm_skew_lt,pc_oi,pc_vol,otm_pc_oi_st,otm_pc_vol_st,otm_pc_oi_lt,otm_pc_vol_lt,otm_put_oi_pct_chg,otm_call_oi_pct_chg,otm_put_vol_pct_chg,otm_call_vol_pct_chg,otm_put_oi_ma,otm_call_oi_ma,otm_put_vol_ma,otm_call_vol_ma
11/24/2014,0.014178196,0.028273586,0.103987677,0.095488694,1.607469959,1.521492481,14.71806948,213.6557377,10.47121821,5.163052905,0.032894385,0.267882548,-0.154463205,-0.976025617,0.93671689,1.024097298,1.043423943,0.06333077
11/25/2014,0.014196019,0.028495565,0.100387685,0.091853379,1.591223376,0.780642137,14.58110364,582.7571429,9.906079324,29.18335901,0.010297556,0.006905609,-0.533015772,-0.718560278,0.942144551,1.040667929,0.497656851,0.020409639
11/26/2014,0.01165133,0.022036716,0.101566199,0.092468341,1.521824157,1.99305895,15.7800694,98.01845018,10.502865,5.723997028,0.017389605,-0.000406884,-0.099810473,3.303543914,0.952986563,1.050715839,0.461178606,0.091734983
11/28/2014,0.00995953,0.018268809,0.098054413,0.092587381,1.532171915,0.996356002,15.97761453,83.9375,9.968402702,2.270330694,-0.013258127,0.002222941,-0.423448145,3.118510562,0.937391456,1.066772512,0.284737256,0.437937585
12/1/2014,0.010379179,0.016298563,0.097468491,0.096009462,1.528769184,1.726009846,14.95087425,24.87093154,8.42026162,9.384535547,0.031567469,0.024005506,1.986008534,-0.653047031,0.96496431,1.101760957,0.845945506,0.157078366
12/2/2014,0.011452376,0.020037603,0.063839684,0.093600287,1.615329539,2.723192636,5.975661376,317.25,8.710723899,87.61915888,-0.01863765,-0.000943086,-0.416873926,-0.390879479,0.948454128,1.125486783,0.507050096,0.097299158
12/3/2014,0.008578498,0.016569327,0.072997478,0.092972611,1.630337924,2.424792247,43.53636364,54.1,9.515246563,2.348665081,0.025156977,-0.015202878,0.378961755,2.112299465,0.990289144,1.063477387,0.769073062,0.462093775
12/4/2014,0.005952566,0.015435012,0.095488687,0.094166796,1.65105709,2.213332411,464.3333333,43.42307692,8.514096597,19.5719697,0.008948475,0.000535265,-0.2407765,-0.572164948,1.013061707,1.043288533,0.642866238,0.212032882
12/5/2014,0.008478251,0.019354289,0.088997705,0.096401376,1.683574978,3.063227249,115.0625,171,8.59369412,30.84351145,0.002642932,0.003176294,0.163699386,1.523015137,1.036517967,1.027358651,0.857482615,0.588277665
12/8/2014,-0.006004017,0.007553733,0.114068821,0.096410278,1.730999246,2.598369021,4.172012323,33.14813295,7.948255387,5.321053978,-0.01070887,0.013256249,0.562454064,-0.521366475,1.016978103,1.015923193,1.430263542,0.839706135
12/9/2014,-0.006571441,0.007764722,0.12008882,0.099101087,1.745242058,1.310663971,4.209486869,1.832353107,7.875848231,62.00248139,0.011639765,0.002633741,0.207150108,12.61447941,1.022333978,1.014977111,1.735892182,5.460319089
12/10/2014,-0.009403016,0.008378032,0.132854773,0.111644496,1.769717957,2.29268834,2.893798733,15.93589356,1.923540265,5.032639636,-0.043037329,0.392053204,0.080848271,-0.702944437,0.977443789,1.355078525,1.699440829,1.403684795
12/11/2014,-0.00631659,0.003028738,0.152016376,0.127402533,1.780780407,2.934379847,3.044880952,4.844683182,4.802255614,2.309798856,-0.005155643,-0.05451826,0.300664137,0.789929787,0.973647213,1.2395815,1.917283664,2.048592258
12/12/2014,-0.019784494,0.00389074,0.151049432,0.117560898,1.836527302,2.443244098,1.78004041,6.180490901,1.68023331,6.961753945,-0.072962994,0.585760248,-0.111714932,-0.331943316,0.909037754,1.779069077,1.498907591,1.298976156
12/15/2014,-0.009545174,0.011177289,0.139471164,0.118627502,1.865500982,2.174461206,1.35938292,1.529144777,1.36609945,8.03776645,-0.072527119,0.214476938,0.05408335,3.440488785,0.857524695,1.91021115,1.478794624,3.722824882
12/16/2014,-0.009986447,0.005570341,0.14699157,0.120173951,1.881706775,2.506044613,1.221758924,3.406163045,1.283741792,1.409704738,0.002575792,0.11551009,-0.103567283,-0.597560249,0.872792063,1.872394511,1.223282846,1.315329416
